date,product_id,category,brand,listed_price,cost_price,discount_pct,final_price,units_sold,inventory_level,rating,competitor_price,revenue,profit
2023-01-01,P002,Kids,H&M,1260.11,856.51,15,1071.09,108,821,4.0,1175.13,115677.72,23174.64
2023-01-01,P004,Women,Puma,3934.44,2225.61,10,3541.0,23,960,4.8,3440.58,81443.0,30253.97
2023-01-01,P010,Women,H&M,4841.94,2847.58,20,3873.55,33,913,4.5,4043.49,127827.15,33857.01
2023-01-01,P015,Men,Roadster,1870.3,1118.47,30,1309.21,36,596,3.7,1306.36,47131.56,6866.64
2023-01-01,P016,Kids,Puma,1998.19,1264.65,0,1998.19,56,164,3.8,1908.02,111898.64,41078.24
2023-01-02,P001,Footwear,Adidas,2339.21,1623.06,10,2105.29,56,862,4.6,1907.91,117896.24,27004.88
2023-01-02,P004,Women,Puma,2251.87,1472.06,20,1801.5,28,582,3.4,1845.14,50442.0,9224.32
2023-01-02,P006,Accessories,Nike,643.73,469.39,20,514.98,180,841,3.2,528.19,92696.4,8206.2
2023-01-02,P010,Women,H&M,4872.66,3078.17,30,3410.86,8,554,3.9,3155.05,27286.88,2661.52
2023-01-02,P011,Footwear,Adidas,4195.66,2458.9,30,2936.96,22,412,4.6,2742.93,64613.12,10517.32
2023-01-02,P012,Men,Nike,3725.86,2528.44,10,3353.27,6,839,3.4,3465.8,20119.62,4948.98
2023-01-02,P019,Kids,Nike,965.6,564.47,15,820.76,60,783,3.7,844.35,49245.6,15377.4
2023-01-02,P028,Accessories,HRX,579.37,410.17,10,521.43,252,263,3.8,513.47,131400.36,28037.52
2023-01-03,P010,Women,H&M,3309.08,2361.5,10,2978.17,13,816,3.5,3115.21,38716.21,8016.71
2023-01-03,P012,Men,Nike,1938.3,1213.44,40,1162.98,128,514,4.4,1147.7,148861.44,-6458.88
2023-01-03,P013,Women,Levis,4841.0,3260.22,5,4598.95,6,646,3.8,4623.99,27593.7,8032.38
2023-01-03,P017,Women,H&M,2300.42,1399.39,20,1840.34,46,127,4.2,1718.91,84655.64,20283.7
2023-01-03,P020,Footwear,H&M,2040.75,1131.72,30,1428.52,72,315,3.3,1410.28,102853.44,21369.6
2023-01-03,P027,Men,HRX,2076.34,1296.69,10,1868.71,54,673,3.9,1819.93,100910.34,30889.08
2023-01-03,P029,Footwear,Nike,4097.21,2639.04,5,3892.35,22,110,4.7,4000.37,85631.7,27572.82
2023-01-04,P004,Women,Puma,1182.85,743.66,20,946.28,50,698,4.6,956.49,47314.0,10131.0
2023-01-04,P015,Men,Roadster,1801.81,1187.05,5,1711.72,56,219,4.5,1653.59,95856.32,29381.52
2023-01-04,P020,Footwear,H&M,1576.61,903.52,30,1103.63,56,964,3.6,1137.68,61803.28,11206.16
2023-01-04,P029,Footwear,Nike,3682.99,2566.31,30,2578.09,26,884,4.6,2418.31,67030.34,306.28
2023-01-06,P002,Kids,H&M,3157.75,2164.76,20,2526.2,5,181,4.8,2569.88,12631.0,1807.2
2023-01-06,P007,Kids,Levis,1268.08,775.65,10,1141.27,68,916,4.9,1062.48,77606.36,24862.16
2023-01-06,P012,Men,Nike,4461.32,2645.0,15,3792.12,5,855,3.8,3785.59,18960.6,5735.6
2023-01-06,P020,Footwear,H&M,2404.23,1779.79,0,2404.23,60,860,4.5,2629.53,144253.8,37466.4
2023-01-06,P021,Men,Puma,1162.54,781.61,10,1046.29,36,924,3.4,944.03,37666.44,9528.48
2023-01-06,P025,Men,Nike,964.66,620.01,20,771.73,48,170,4.9,831.54,37043.04,7282.56
2023-01-07,P022,Accessories,Puma,1424.22,938.35,20,1139.38,76,797,3.5,1153.42,86592.88,15278.28
2023-01-07,P028,Accessories,HRX,749.76,550.23,10,674.78,147,127,3.4,679.19,99192.66,18308.85
2023-01-07,P029,Footwear,Nike,584.95,325.71,10,526.46,297,114,4.9,477.79,156358.62,59622.75
2023-01-08,P002,Kids,H&M,1034.39,592.24,5,982.67,45,380,3.3,1077.69,44220.15,17569.35
2023-01-08,P003,Accessories,Adidas,4128.04,2413.65,20,3302.43,22,631,4.9,3624.57,72653.46,19553.16
2023-01-08,P004,Women,Puma,3842.04,2639.94,0,3842.04,26,602,4.3,4190.37,99893.04,31254.6
2023-01-08,P004,Women,Puma,2660.73,1838.78,5,2527.69,25,725,3.3,2600.58,63192.25,17222.75
2023-01-08,P014,Accessories,Nike,1145.97,728.49,15,974.07,105,214,4.9,944.39,102277.35,25785.9
2023-01-08,P016,Kids,Puma,1639.78,1203.26,15,1393.81,63,521,3.3,1259.39,87810.03,12004.65
2023-01-08,P017,Women,H&M,2944.01,1914.49,30,2060.81,68,220,4.4,1998.78,140135.08,9949.76
2023-01-08,P019,Kids,Nike,2225.75,1277.21,15,1891.89,68,501,4.2,1750.32,128648.52,41798.24
2023-01-08,P021,Men,Puma,3988.19,2278.09,30,2791.73,21,622,4.6,2868.79,58626.33,10786.44
2023-01-08,P025,Men,Nike,790.99,517.91,15,672.34,70,426,4.1,626.76,47063.8,10810.1
2023-01-08,P028,Accessories,HRX,1186.3,738.79,5,1126.98,108,222,3.7,1181.5,121713.84,41924.52
2023-01-08,P030,Footwear,Zara,1965.24,1174.28,30,1375.67,90,185,4.4,1442.92,123810.3,18125.1
2023-01-09,P016,Kids,Puma,3645.82,2677.59,10,3281.24,25,761,4.7,3271.91,82031.0,15091.25
2023-01-09,P024,Women,Nike,4711.96,2640.56,0,4711.96,22,815,4.8,4913.71,103663.12,45570.8
2023-01-09,P027,Men,HRX,1823.04,1004.21,40,1093.82,48,346,3.6,1116.39,52503.36,4301.28
2023-01-09,P029,Footwear,Nike,1473.04,942.3,30,1031.13,132,785,4.4,981.73,136109.16,11725.56
2023-01-09,P029,Footwear,Nike,1553.36,1121.98,40,932.02,85,424,4.6,962.45,79221.7,-16146.6
2023-01-10,P006,Accessories,Nike,3457.8,2520.66,10,3112.02,19,732,4.8,3018.47,59128.38,11235.84
2023-01-10,P015,Men,Roadster,3986.67,2669.29,20,3189.34,24,932,4.8,3166.18,76544.16,12481.2
2023-01-10,P019,Kids,Nike,4651.71,2778.85,30,3256.2,18,561,4.1,2989.27,58611.6,8592.3
2023-01-10,P024,Women,Nike,1571.77,865.79,30,1100.24,40,432,4.4,1168.34,44009.6,9378.0
2023-01-11,P004,Women,Puma,2494.76,1517.16,30,1746.33,62,800,3.3,1687.15,108272.46,14208.54
2023-01-11,P005,Kids,Puma,597.43,397.65,40,358.46,169,843,4.9,326.72,60579.74,-6623.11
2023-01-12,P002,Kids,H&M,4931.96,3039.31,15,4192.17,31,252,3.4,3966.63,129957.27,35738.66
2023-01-12,P004,Women,Puma,1060.23,778.96,10,954.21,25,579,4.9,1029.35,23855.25,4381.25
2023-01-12,P009,Footwear,Levis,4328.91,2863.33,5,4112.46,11,389,4.4,4077.98,45237.06,13740.43
2023-01-12,P019,Kids,Nike,3396.49,2057.15,30,2377.54,42,609,3.7,2174.94,99856.68,13456.38
2023-01-12,P020,Footwear,H&M,1745.77,1035.14,30,1222.04,100,477,4.6,1159.1,122204.0,18690.0
2023-01-12,P023,Accessories,Roadster,580.09,412.24,10,522.08,216,800,4.2,554.55,112769.28,23725.44
2023-01-12,P023,Accessories,Roadster,3044.85,1937.04,10,2740.36,7,846,3.4,2844.38,19182.52,5623.24
2023-01-12,P029,Footwear,Nike,4217.97,2468.18,10,3796.17,22,183,4.7,3740.41,83515.74,29215.78
2023-01-13,P014,Accessories,Nike,4043.89,2891.45,30,2830.72,23,313,3.7,2616.37,65106.56,-1396.79
2023-01-13,P020,Footwear,H&M,2530.17,1748.98,5,2403.66,50,201,4.3,2492.37,120183.0,32734.0
2023-01-13,P026,Women,HRX,4008.29,2742.36,20,3206.63,17,273,3.3,3319.66,54512.71,7892.59
2023-01-14,P001,Footwear,Adidas,2142.24,1383.53,0,2142.24,10,982,4.3,2279.37,21422.4,7587.1
2023-01-14,P004,Women,Puma,4343.02,3170.27,5,4125.87,23,426,3.4,4342.33,94895.01,21978.8
